customer_id,age,tenure_months,contract_type,internet_service,tech_support,payment_method,monthly_charges,total_charges,num_support_calls,churn
1472,22.0,7.0,One year,No,No,Credit card,41.23,267.41,5,0
2451,71.0,4.0,Two year,Fiber optic,Yes,Electronic check,22.69,80.55,3,0
2715,44.0,10.0,Two year,No,Yes,Electronic check,92.05,990.26,1,0
1643,22.0,49.0,Month-to-month,Fiber optic,Yes,Credit card,77.61,3940.19,1,0
2817,34.0,22.0,One year,Fiber optic,No,Mailed check,93.76,2372.07,1,1
2990,57.0,2.0,One year,DSL,No,Mailed check,112.51,237.35,2,0
2098,59.0,13.0,Month-to-month,No,No,Mailed check,28.91,346.96,2,0
1961,65.0,1.0,Month-to-month,No,Yes,Mailed check,85.98,78.83,2,0
1418,63.0,26.0,Month-to-month,DSL,No,Bank transfer,52.79,1450.56,5,0
1180,54.0,6.0,Month-to-month,DSL,No,Electronic check,90.05,483.05,2,1
2613,44.0,2.0,Two year,Fiber optic,Yes,Credit card,84.27,172.8,2,0
1570,45.0,6.0,Month-to-month,Fiber optic,No,Mailed check,65.32,421.2,1,0
2756,43.0,35.0,Month-to-month,DSL,No,Credit card,58.13,1815.48,3,0
2858,49.0,60.0,One year,DSL,No,Bank transfer,73.0,4156.16,2,0
1270,67.0,0.0,Month-to-month,No,No,Mailed check,53.7,0.0,2,0
1960,55.0,38.0,Two year,Fiber optic,No,Credit card,99.83,3444.98,0,0
1352,58.0,3.0,One year,DSL,Yes,Bank transfer,50.08,143.39,3,0
2179,28.0,2.0,Month-to-month,Fiber optic,No,Mailed check,84.92,166.09,3,1
2646,42.0,19.0,Month-to-month,Fiber optic,Yes,Mailed check,30.05,497.2,2,1
2218,32.0,18.0,Month-to-month,No,No,Electronic check,100.68,1658.83,0,1
1829,41.0,4.0,Month-to-month,DSL,No,Bank transfer,15.0,68.38,0,0
1476,54.0,1.0,Month-to-month,Fiber optic,No,Bank transfer,69.73,66.31,3,0
1885,73.0,12.0,Two year,DSL,No,Electronic check,77.85,1026.9,1,0
2410,65.0,1.0,Month-to-month,DSL,No,Mailed check,54.41,62.1,1,1
1488,70.0,11.0,One year,Fiber optic,No,Credit card,55.29,590.27,2,0
2535,21.0,27.0,Two year,No,Yes,Credit card,47.91,1133.29,3,0
1316,55.0,11.0,Month-to-month,DSL,No,Mailed check,98.14,951.51,1,1
2481,39.0,9.0,Month-to-month,Fiber optic,Yes,Credit card,59.51,527.32,1,0
1948,44.0,40.0,Month-to-month,No,Yes,Mailed check,59.53,2298.6,1,0
1458,37.0,47.0,One year,DSL,No,Bank transfer,62.39,2576.94,1,0
2194,21.0,28.0,Two year,No,Yes,Bank transfer,133.88,3642.93,2,0
1112,46.0,13.0,Month-to-month,No,Yes,Bank transfer,42.09,559.7,1,0
1980,57.0,69.0,Month-to-month,Fiber optic,No,Credit card,50.09,3749.65,3,0
2315,25.0,6.0,Month-to-month,DSL,Yes,Mailed check,88.21,459.82,1,0
1411,28.0,33.0,One year,DSL,No,Mailed check,64.22,1885.64,1,0
2891,45.0,6.0,Month-to-month,Fiber optic,No,Electronic check,76.27,499.13,0,0
1558,51.0,26.0,Month-to-month,Fiber optic,No,Mailed check,52.13,1376.81,2,0
1792,49.0,44.0,Month-to-month,Fiber optic,No,Credit card,48.33,2189.72,1,0
2852,27.0,3.0,Month-to-month,Fiber optic,Yes,Mailed check,43.73,113.92,1,0
1004,41.0,33.0,One year,Fiber optic,Yes,Credit card,96.48,3051.82,1,0
2713,58.0,43.0,Month-to-month,No,Yes,Mailed check,78.84,3533.49,2,0
2770,46.0,10.0,One year,No,No,Credit card,63.84,700.37,2,0
2536,53.0,5.0,Month-to-month,No,Yes,Electronic check,58.16,288.15,0,0
2984,59.0,6.0,Month-to-month,Fiber optic,Yes,Credit card,40.5,236.31,6,1
2663,36.0,18.0,Month-to-month,Fiber optic,Yes,Bank transfer,27.93,487.79,1,0
1280,,11.0,Month-to-month,Fiber optic,Yes,Credit card,30.24,363.01,0,0
2953,35.0,14.0,Month-to-month,Fiber optic,No,Electronic check,60.06,792.21,1,0
2749,60.0,3.0,One year,No,No,Mailed check,84.27,243.07,0,0
1137,40.0,0.0,Two year,NO,No,Mailed check,91.74,0.0,2,0
2091,44.0,5.0,Month-to-month,Fiber optic,Yes,Bank transfer,50.59,268.07,6,1
1625,37.0,3.0,Month-to-month,DSL,No,Bank transfer,78.96,218.48,1,0
1957,52.0,19.0,Month-to-month,Fiber optic,Yes,Bank transfer,63.57,1378.98,1,0
2934,,16.0,Month-to-month,No,No,Electronic check,43.59,606.47,0,0
1809,32.0,10.0,Month-to-month,Fiber optic,No,Electronic check,88.57,968.8,2,1
1355,30.0,11.0,One year,Fiber optic,No,Bank transfer,87.84,963.37,0,0
1619,48.0,2.0,One year,Fiber optic,No,Credit card,36.85,63.62,1,1
1837,30.0,42.0,Month-to-month,DSL,No,Mailed check,43.89,1994.37,4,0
1447,31.0,40.0,One year,Fiber optic,No,Electronic check,59.46,2448.1,3,0
2094,56.0,13.0,Month-to-month,Fiber optic,No,Credit card,39.07,524.38,5,0
1691,62.0,16.0,Month-to-month,Fiber optic,No,Electronic check,27.2,398.41,3,1
2985,53.0,7.0,Month-to-month,DSL,No,Electronic check,16.07,115.28,4,0
2476,43.0,22.0,Month-to-month,DSL,No,Credit card,65.78,1406.76,2,1
2329,54.0,42.0, One year ,DSL,No,Mailed check,97.32,4421.96,1,0
2865,20.0,21.0,One year,DSL,Yes,Mailed check,99.99,1907.33,3,0
1305,47.0,50.0,Month-to-month,Fiber optic,No,Electronic check,90.04,4116.14,1,0
1445,55.0,10.0,Month-to-month,No,Yes,Credit card,88.92,935.59,0,0
2334,47.0,63.0,Month-to-month,Fiber optic,Yes,Bank transfer,76.18,4280.59,4,1
